2026-07-13 12:47:28,125 | INFO | SqFtPerBedroom feature created successfully.
2026-07-13 12:47:28,126 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-13 12:47:28,127 | INFO | TotalRooms feature created successfully.
2026-07-13 12:47:28,131 | INFO | Features and target created successfully.
2026-07-13 12:47:28,135 | INFO | Train-test split completed successfully.
2026-07-13 12:47:28,143 | INFO | Linear Regression model trained successfully.
2026-07-13 12:47:28,152 | INFO | Linear Regression evaluated successfully.
2026-07-13 12:47:28,161 | INFO | Decision tree regression model trained successfully.
2026-07-13 12:47:28,178 | INFO | Decision Tree evaluated successfully.
2026-07-13 12:47:28,445 | INFO | Random Forest regression model trained successfully.
2026-07-13 12:47:28,474 | INFO | Random Forest Regressor evaluated successfully.
2026-07-13 12:47:28,493 | INFO | KNN model trained successfully.
2026-07-13 12:47:28,507 | INFO | KNN Regression evaluated successfully.
2026-07-13 12:47:28,507 | INFO | Best model selected: Linear Regression
2026-07-13 12:47:28,512 | INFO | Best model saved successfully at/Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-13 12:47:28,519 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-13 13:13:36,602 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-13 13:13:36,609 | INFO | Dataset information displayed successfully.
2026-07-13 13:13:36,613 | INFO | Missing values checked successfully
2026-07-13 13:13:36,629 | INFO | Missing values handled successfully.
2026-07-13 13:13:36,630 | INFO | Duplicate rows checked successfully
2026-07-13 13:13:36,632 | INFO | Duplicate rows removed successfully
2026-07-13 13:13:36,678 | INFO | Categorical columns encoded successfully.
2026-07-13 13:13:36,685 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-13 13:13:36,685 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-13 13:13:36,686 | INFO | SqFtPerBedroom feature created successfully.
2026-07-13 13:13:36,687 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-13 13:13:36,688 | INFO | TotalRooms feature created successfully.
2026-07-13 13:13:36,689 | INFO | Features and target created successfully.
2026-07-13 13:13:36,692 | INFO | Train-test split completed successfully.
2026-07-13 13:13:36,707 | INFO | Linear Regression model trained successfully.
2026-07-13 13:13:36,713 | INFO | Linear Regression evaluated successfully.
2026-07-13 13:13:36,730 | INFO | Decision tree regression model trained successfully.
2026-07-13 13:13:36,736 | INFO | Decision Tree evaluated successfully.
2026-07-13 13:13:36,925 | INFO | Random Forest regression model trained successfully.
2026-07-13 13:13:36,954 | INFO | Random Forest Regressor evaluated successfully.
2026-07-13 13:13:36,957 | INFO | KNN model trained successfully.
2026-07-13 13:13:37,094 | INFO | KNN Regression evaluated successfully.
2026-07-13 13:13:37,095 | INFO | Best model selected: Linear Regression
2026-07-13 13:13:37,105 | INFO | Best model saved successfully at/Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-13 13:13:37,108 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-13 13:15:22,215 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-13 13:15:22,227 | INFO | Dataset information displayed successfully.
2026-07-13 13:15:22,229 | INFO | Missing values checked successfully
2026-07-13 13:15:22,263 | INFO | Missing values handled successfully.
2026-07-13 13:15:22,265 | INFO | Duplicate rows checked successfully
2026-07-13 13:15:22,266 | INFO | Duplicate rows removed successfully
2026-07-13 13:15:22,306 | INFO | Categorical columns encoded successfully.
2026-07-13 13:15:22,313 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-13 13:15:22,313 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-13 13:15:22,314 | INFO | SqFtPerBedroom feature created successfully.
2026-07-13 13:15:22,315 | INFO | BathroomPerBedroom feature created successfuuly.
2026-07-13 13:15:22,316 | INFO | TotalRooms feature created successfully.
2026-07-13 13:15:22,316 | INFO | Features and target created successfully.
2026-07-13 13:15:22,320 | INFO | Train-test split completed successfully.
2026-07-13 13:15:22,328 | INFO | Linear Regression model trained successfully.
2026-07-13 13:15:22,334 | INFO | Linear Regression evaluated successfully.
2026-07-13 13:15:22,341 | INFO | Decision tree regression model trained successfully.
2026-07-13 13:15:22,348 | INFO | Decision Tree evaluated successfully.
2026-07-13 13:15:22,553 | INFO | Random Forest regression model trained successfully.
2026-07-13 13:15:22,577 | INFO | Random Forest Regressor evaluated successfully.
2026-07-13 13:15:22,581 | INFO | KNN model trained successfully.
2026-07-13 13:15:22,593 | INFO | KNN Regression evaluated successfully.
2026-07-13 13:15:22,594 | INFO | Best model selected: Linear Regression
2026-07-13 13:15:22,606 | INFO | Best model saved successfully at/Users/macbookair/Documents/ml projects for github/house price prediction/models/best_model.pkl
2026-07-13 13:15:22,613 | INFO | Feature engineered dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/feature_engineered_house_price.csv
2026-07-14 12:14:12,250 | INFO | Dataset loaded successfully from /Users/macbookair/Documents/ml projects for github/house price prediction/data/raw/house_price.csv
2026-07-14 12:14:12,260 | INFO | Dataset information displayed successfully.
2026-07-14 12:14:12,263 | INFO | Missing values checked successfully
2026-07-14 12:14:12,300 | INFO | Missing values handled successfully.
2026-07-14 12:14:12,302 | INFO | Duplicate rows checked successfully
2026-07-14 12:14:12,304 | INFO | Duplicate rows removed successfully
2026-07-14 12:14:12,355 | INFO | Categorical columns encoded successfully.
2026-07-14 12:14:12,360 | INFO | Processed dataset saved successfully at /Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
2026-07-14 12:14:12,360 | INFO | 
Processed dataset saved to:
/Users/macbookair/Documents/ml projects for github/house price prediction/data/processed/processed_house_price.csv
